Down;Data wydania wyroku;sygnatura akt;Nazwa i siedziba sˆdu, kt—ry wyda¸ wyrok;Oznaczenie stron oraz informacja o udziale w post«powaniu prokuratora lub organizacji spo¸ecznej - POWîD;Oznaczenie stron oraz informacja o udziale w post«powaniu prokuratora lub organizacji spo¸ecznej - POZWANI;Postanowienie wzorca umowy uznane za niedozwolone;Data dokonania wpisu;Uwagi (wszelkie wpisy dodatkowe);Branıa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5769;27 maj 14;Sygn. akt XVII AmC 12374/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w w Warszawie;Pozwany: Velsatis Polska sp. z o.o. w Warszawie;"""(É) Zmiana adresu e-mail oraz adresu zamieszkania musi by dostarczona do poıyczkodawcy osobiæcie przez poıyczkobiorc« na piæmie pod rygorem niewaınoæci""";14 sie 14;;USüUGI FINANSOWE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5770;08 maj 14;Sygn. akt XVII AmC 34594/13;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: W¸adys¸awa Hausmann, Katarzyna Panufnik, Jadwiga Pawlikowska, Joanna Marciniak, Sylwia LipiÄska, Agnieszka Wagner;Pozwany: Tomasz W¸odarczyk - PRACOWNIA ZüOTNICZA w Warszawie;"""Klient zobowiˆzany jest do dostarczenia wskazanego w e-mailu produktu w ciˆgu 7 dni kalendarzowych od dnia otrzymania numeru zwrotu. Niedostarczenie przez Klienta zwracanego produktu w terminie 7 dni powoduje wycofanie oæwiadczenia o odstˆpieniu od umowy""";14 sie 14;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5771;18 cze 14;Sygn. akt XVII AmC 10754/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Og—lnopolskie Stowarzyszenie na rzecz ochrony praw konsument—w w Warszawie;Pozwany: Adrian Machowski  - Machowski Adrian AM Corp w Skarıysko-Kamiennej;"""Jeıeli pojazd zostanie zwr—cony z uszkodzeniami powsta¸ymi podczas najmu, z zastrzeıeniem ust. 5 pkt c Wynajmujˆcy obciˆıy Najemc« kosztami przestoju Pojazdu (stawka dobowa pomnoıona przez liczb« dni potrzebnych do naprawy Pojazdu), a w przypadku szkody, kt—ra nie b«dzie mog¸a by zlikwidowana z ubezpieczenia Pojazdu, Wynajmujˆcy obciˆıy Najemc« r—wnieı kwotˆ r—wnowaınˆ kosztom bezpoærednim i poærednim potrzebnym do naprawy uszkodzonego Pojazdu ustalonˆ m.in. w oparciu o wycen« autoryzowanego serwisu""";14 sie 14;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5772;21 maj 14;Sygn. akt XVII AmC 21908/13;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Jerzy Maciejewski, Tomasz Antosik, Stowarzyszenie Ochrony Konsument—w PATRONUS w üodzi, Monika Pawlikowska-Hausmann, J—zef RuciÄski, Wies¸awa Musa;Pozwany: Anna Skiba - E-dystrybucja w Suchym Lesie;"""(É) Zwrotom nie podlegajˆ towary obj«te promocjˆ cenowˆ lub/i wyprzedaıˆ""";14 sie 14;;HANDEL ELEKTRONICZNY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5773;18 mar 14;Sygn. akt XVII AmC 22684/13;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: W¸adys¸awa Hausmann, Agnieszka Wagner, Jadwiga Pawlikowska, Katarzyna Panufnik, Joanna Marciniak, Sylwia LipiÄska, Pawe¸ Py, Zbigniew Nowacki, Piotr Marciniak, Iwar Hausmann, Agnieszka ZgliÄska, Igor Wagner;Pozwany: Holbex sp. z o.o. w Lesznowoli;"""Sklep e-sklep.holbex.pl nie odpowiada za op—nienia w dostawie spowodowane niewywiˆzaniem si« przez firmy wysy¸kowe z um—w us¸ugi przewozowej i pocztowej""";14 sie 14;;HANDEL ELEKTRONICZNY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5774;04 cze 14;Sygn. akt XVII AmC 14081/13;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Olga Hyıy, Aneta Czapska, Daniel Kad¸ubowski, Joanna Kad¸ubowska, Tomasz Kad¸ubowski, Danuta Siwecka, Krzysztof Siwecki, Anna Siwecka, Maciej Nowakowski, Halina Kuczkowska, Arkadiusz Kuczkowski, Danuta KwiecieÄ, Robert Rusnak, Graıyna Twardoch-SoliÄska;Pozwany: Jaros¸aw Guba¸a - F.H.U. Gubex w Myæleniacach;"""Gwarancja oraz prawo odstˆpienia od umowy nie obowiˆzujˆ, gdy produkt dotkni«ty jest uszkodzeniami mechanicznymi pochodzenia zewn«trznego""";14 sie 14;;HANDEL ELEKTRONICZNY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5775;14 maj 14;Sygn. akt XVII AmC 19005/13;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Emil Hausmann, Jaros¸aw Wagner, Danuta Panufnik, Jacek Matusiak, Anna Mas¸owska;Pozwany: Marta Witek - M Home & Design -Rzˆska;"""Sklep potwierdza przyj«cie zam—wienia drogˆ internetowˆ lub telefonicznie w ciagu 48 godzin od jego otrzymania, jednoczeænie zastrzegajˆc sobie prawo odstˆpienia umowy, w ciˆgu 5 dni roboczych od daty z¸oıenia zam—wienia przez kupujˆcego""";14 sie 14;;HANDEL ELEKTRONICZNY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5776;12 cze 14;Sygn. akt XVII AmC 11700/13;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Agnieszka Wagner, W¸adys¸awa Hausmann;Pozwany: Dorota Zawadzka-Siesicka- MarokoArt w Warszawie;"""W przypadku zam—wienia sk¸adajˆcego si« z kilku r—ınych produkt—w, sklep zastrzega sobie prawo do oddzielnego wysy¸ania produkt—w""";14 sie 14;;HANDEL ELEKTRONICZNY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5777;28 maj 14;Sygn. akt XVII AmC 13322/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Og—lnopolskie Stowarzyszenie na rzecz ochrony praw konsument—w w Warszawie;Pozwany: Piotr Kryjak - Przedsi«biorstwo Motoryzacyjne Autofinance w S¸ubicach;"""Pozosta¸e kary umowne; v) inne, niewymienione wyıej braki w wyposaıeniu samochodu - 2000 z¸""";14 sie 14;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5778;28 maj 14;Sygn. akt XVII AmC 13322/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Og—lnopolskie Stowarzyszenie na rzecz ochrony praw konsument—w w Warszawie;Pozwany: Piotr Kryjak - Przedsi«biorstwo Motoryzacyjne Autofinance w S¸ubicach;"""Op¸ata za wynajem i op¸aty dodatkowe nie sˆ zwracane w przypadku wczeæniejszego zwrotu samochodu""";14 sie 14;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5779;28 maj 14;Sygn. akt XVII AmC 13322/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Og—lnopolskie Stowarzyszenie na rzecz ochrony praw konsument—w w Warszawie;Pozwany: Piotr Kryjak - Przedsi«biorstwo Motoryzacyjne Autofinance w S¸ubicach;"""Wynajmujˆcy w przypadku unieruchomienia wynajmowanego samochodu na okres d¸uıszy niı 8 godzin, w miar« moıliwoæci zapewni Najemcy samoch—d zast«pczy. (É) Wynajmujˆcy nie ponosi ıadnej odpowiedzialnoæci odszkodowawczej""";14 sie 14;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5780;17 cze 14;Sygn. akt XVII AmC 37443/13;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Iwar Hausmann, Agnieszka ZgliÄska, Zbigniew Nowacki, Daria Krysiak, Piotr Marciniak, Pawe¸ Py;Pozwany: Renata Kowalska - Reset Bydgoszcz;"""Serwis takich towar—w dokonywany jest po dostarczeniu dowodu zakupu i dowodu wydania z magazynu z numerami fabrycznymi produktu. W niekt—rych przypadkach konieczne jest r—wnieı dostarczenie oryginalnego opakowania""";14 sie 14;;SPRZEDAû KONSUMENCKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5781;29 maj 14;Sygn. akt XVII AmC 6541/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;"Pow—d: Stowarzyszenie ""Towarzystwo Lexus"" z siedzibˆ w Poznaniu";"Pozwany: Karolina Gogo¸kiewicz - ""ADLER-DOM"" w üodzi";"""W przypadku zw¸oki w zap¸acie prowizji okreælonej w par. 7 Oferujˆcy (É) pokryje koszty przekazania sprawy do windykacji""";14 sie 14;;NIERUCHOMOåCI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5782;02 lip 14;Sygn. akt XVII AmC 11407/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;"Pow—d: Stowarzyszenie ""Towarzystwo Lexus"" z siedzibˆ w Poznaniu";Pozwany: Wojciech Kuleczka - GALERIA GPS WOJCIECH KULECZKA w Warszawie;"""W przypadku uszkodzenia opakowania (É) GALERIA GPS zastrzega sobie odliczenie koszt—w nowego opakowania towaru (usuni«cia szkody)""";14 sie 14;;HANDEL ELEKTRONICZNY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5783;02 lip 14;Sygn. akt XVII AmC 11409/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;"Pow—d: Stowarzyszenie ""Towarzystwo Lexus"" z siedzibˆ w Poznaniu";Pozwany: Wojciech Kuleczka - GALERIA GPS WOJCIECH KULECZKA w Warszawie;"""Ze wzgl«du na wymogi proceduralne nie b«dziemy rozpatrywa reklamacji: - bez poprawnie wype¸nionego protoko¸u szkody z kurierem dostarczajˆcym przesy¸k« na uszkodzenie, kt—re powsta¸o podczas transportu, - w kt—rych brak fabrycznego opakowania reklamowanego towaru""";27 sie 14;;HANDEL ELEKTRONICZNY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5784;02 lip 14;Sygn. akt XVII AmC 11410/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;"Pow—d: Stowarzyszenie ""Towarzystwo Lexus"" z siedzibˆ w Poznaniu";Pozwany: Wojciech Kuleczka - GALERIA GPS WOJCIECH KULECZKA w Warszawie;"""W przypadku spor—w mogˆcych powsta z w zwiˆzku z niniejszˆ Umowˆ, ich rozpatrzenie b«dzie naleıe do sˆdu arbitraıowego, w¸aæciwego miejscowo dla Sprzedajˆcego""";27 sie 14;;HANDEL ELEKTRONICZNY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5785;28 sty 13;Sygn. akt XVII AmC 992/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w w Warszawie;"Pozwany: Krystyna DomaÄska - ""DomaÄscy Nieruchomoæci"" w Stalowej Woli";"""Umowa zostaje zawarta na okresÉ to jest do dniaÉ 2011 r. Jeıeli Zamawiajˆcy nie wypowie umowy na 14 dni przed terminem jej wygaæni«cia, po tym terminie uwaıa si« umow« za przed¸uıonˆ na nast«pnych 12 miesi«cy""";27 sie 14;;NIERUCHOMOåCI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5786;28 sty 13;Sygn. akt XVII AmC 992/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w w Warszawie;"Pozwany: Krystyna DomaÄska - ""DomaÄscy Nieruchomoæci"" w Stalowej Woli";"""Zamawiajˆcy zobowiˆzuje si« do zap¸aty Poærednikowi wynagrodzenia w przypadku wynajmu oferowanego przedmiotu osobie, kt—ra bezpoærednio lub poærednio skojarzona zosta¸a z Zamawiajˆcym przez Poærednika (É)""";27 sie 14;;NIERUCHOMOåCI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5787;11 gru 12;Sygn. akt XVII AmC 5378/11;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w w Warszawie;Pozwany: Tauron Dystrybucja S.A. z siedzibˆ w Krakowie;"""W przypadku odstˆpienia od umowy przez podmiot przy¸ˆczany uiszczona op¸ata za przy¸ˆczenie nie podlega zwrotowi (É)""";27 sie 14;"Na skutek apelacji obu stron od wyroku Sˆdu Okr«gowego w Warszawie-Sˆdu Ochrony Konkurencji i Konsument—w z dnia 11 grudnia 2012 r., sygn. akt XVII AmC 5378/11, Sˆd Apelacyjny w Warszawie-VI Wydzia¸ Cywilny wyrokiem z dnia 15 listopada 2013 r. sygn. akt VI ACa 399/13 prostuje oczywistˆ niedok¸adnoæ w komparycji i sentencji zaskarıonego wyroku w ten spos—b, ıe kaıdorazowe oznaczenie strony pozwanej ""Tauron Dystrybucja GZE S.A. w Gliwicach"" zast«puje prawid¸owym oznaczeniem ""Tauron Dystrybucja S.A. z siedzibˆ w Krakowie""";DOSTAWA ENERGII WODY, GAZU I CIEPüA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5788;11 gru 12;Sygn. akt XVII AmC 5378/11;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w w Warszawie;Pozwany: Tauron Dystrybucja S.A. z siedzibˆ w Krakowie;"""Natomiast na poprawnoæ wykonywanych prac zgodnie z ¤ 5 ust. 4 podmiot przy¸ˆczany udzieli przedsi«biorstwu energetycznemu 60 miesi«cy gwarancji""";27 sie 14;"Na skutek apelacji obu stron od wyroku Sˆdu Okr«gowego w Warszawie-Sˆdu Ochrony Konkurencji i Konsument—w z dnia 11 grudnia 2012 r., sygn. akt XVII AmC 5378/11, Sˆd Apelacyjny w Warszawie-VI Wydzia¸ Cywilny wyrokiem z dnia 15 listopada 2013 r. sygn. akt VI ACa 399/13 prostuje oczywistˆ niedok¸adnoæ w komparycji i sentencji zaskarıonego wyroku w ten spos—b, ıe kaıdorazowe oznaczenie strony pozwanej ""Tauron Dystrybucja GZE S.A. w Gliwicach"" zast«puje prawid¸owym oznaczeniem ""Tauron Dystrybucja S.A. z siedzibˆ w Krakowie""";DOSTAWA ENERGII WODY, GAZU I CIEPüA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5789;11 gru 12;Sygn. akt XVII AmC 5378/11;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Kokurencji i Konsument—w w Warszawie;Pozwany: Tauron Dystrybucja S.A. z siedzibˆ w Krakowie;"""Cena sprzedaıy urzˆdzeÄ, o kt—rych mowa w ust. 1 oraz cena sprzedaıy majˆtkowych praw autorskich do dokumentacji techniczno-budowlanej zostanie ustalona na podstawie:                     1) kosztorysu powykonawczego na roboty budowlano-montaıowe zwiˆzane z realizacjˆ prac, o kt—rych mowa w ¤ 5 ust. 4, dostarczonego przez podmiot przy¸ˆczany i zweryfikowanego przez przedsi«biorstwo energetyczne, w kwocie netto (bez podatku VAT),                          2) faktur na roboty budowlane zwiˆzane z realizacjˆ prac, o kt—rych mowa w ¤ 5 ust. 4 (pomiar geodezyjny powykonawczy, nadzory branıowe, zaj«cie pasa drogi itp.), dostarczonych przez podmiot przy¸ˆczany i zweryfikowany przez przedsi«biorstwo energetyczne, w kwocie netto (bez podatku VAT),                              3) wyceny dokumentacji techniczno-budowlanej, o kt—rej mowa w ¤ 5 ust.1, opracowanej w oparciu o cennik prac projektowych åZWPT-2000, dostarczonej przez podmiot przy¸ˆczany i zweryfikowanej przez przedsi«biorstwo energetyczne, w kwocie netto (bez podatku VAT)""";27 sie 14;"Na skutek apelacji obu stron od wyroku Sˆdu Okr«gowego w Warszawie-Sˆdu Ochrony Konkurencji i Konsument—w z dnia 11 grudnia 2012 r., sygn. akt XVII AmC 5378/11, Sˆd Apelacyjny w Warszawie-VI Wydzia¸ Cywilny wyrokiem z dnia 15 listopada 2013 r. sygn. akt VI ACa 399/13 prostuje oczywistˆ niedok¸adnoæ w komparycji i sentencji zaskarıonego wyroku w ten spos—b, ıe kaıdorazowe oznaczenie strony pozwanej ""Tauron Dystrybucja GZE S.A. w Gliwicach"" zast«puje prawid¸owym oznaczeniem ""Tauron Dystrybucja S.A. z siedzibˆ w Krakowie""";DOSTAWA ENERGII WODY, GAZU I CIEPüA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5790;10 cze 14;Sygn. akt XVII AmC 1325/13;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w w Warszawie;Pozwany: Pozabankowe Centrum Finansowe sp. z o.o. w Grodzisku Mazowieckim;"""1. W przypadku powstania zad¸uıenia przeterminowanego, Poıyczkodawca ma prawo wszczˆ post«powanie windykacyjne majˆce na celu doprowadzenie do dobrowolnej sp¸aty naleınoæci, kt—rego koszty ponosi Poıyczkobiorca. W zwiˆzku z tym post«powaniem, Poıyczkodawca ma prawo:                          a. wys¸a wezwanie do zap¸aty (monit) pocztˆ tradycyjnˆ, przy czym op¸ata za jedno wezwanie obciˆıa Poıyczkobiorc« i wynosi 100 z¸ (maksymalna liczba wezwaÄ do zap¸aty wys¸anych pocztˆ tradycyjnˆ w jednym miesiˆcu wynosi 30 sztuk);                          b. wys¸a wezwanie do zap¸aty (monit) pocztˆ email, przy czym op¸ata za jedno wezwanie obciˆıa Poıyczkobiorc« i wynosi 100 z¸ (maksymalna liczba wezwaÄ do zap¸aty wys¸anych pocztˆ email w jednym miesiˆcu wynosi 30 sztuk);            c. wys¸a wezwanie do zap¸aty (monit) za pomocˆ wiadomoæci SMS, przy czym op¸ata za jedno wezwanie obciˆıa Poıyczkobiorc« i wynosi 100 z¸ (maksymalna liczba wezwaÄ do zap¸aty wys¸anych za pomocˆ wiadomoæci SMS w jednym miesiˆcu wynosi 30 sztuk);                       d. wezwac telefonicznie Poıyczkobiorc« do sp¸aty poıyczki, przy czym za kaıdy telefon do Poıyczkobiorcy Poıyczkodawca nalicza op¸at« w wysokoæci 100 z¸ (maksymalna liczba wezwaÄ telefonicznych nie moıe przekroczy 30 w jednym miesiˆcu).        2. Poıyczkodawca ma prawo takıe w zwiˆzku z czynnoæciami windykacyjnymi do wizyty w miejscu zamieszkania /zameldowania lub w miejscu pracy Poıyczkobiorcy, na co Poıyczkobiorca niniejszym wyraıa zgod«. Op¸ata za jednˆ wizyt« w miejscu zamieszkania/zameldowania lub w miejscu pracy Poıyczkobiorcy wynosi 100 z¸ i op¸atˆ tˆ obciˆıony jest Poıyczkobiorca, przy czym maksymalna liczba wizyt wynosi 30 w jednym miesiˆcu""";27 sie 14;;USüUGI FINANSOWE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5791;23 maj 13;Sygn. akt XVII AmC 8210/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Jerzy Partyka;Pozwany: Honorata Klukoj - Kreateria z siedzibˆ we Wroc¸awiu;"""Sklep Kreateria zastrzega sobie prawo zmiany cen, opis—w produkt—w, zmiany treæci niniejszego regulaminu itp. treæci na naszej stronie internetowej i w swojej ofercie""";27 sie 14;;HANDEL ELEKTRONICZNY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5792;16 cze 14;Sygn. akt XVII AmC 11373/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Dariusz Kulig;"Pozwany: Fundacja ""Familijny PoznaÄ"" z siedzibˆ w Poznaniu";"""Rodzic/opiekun prawny zobowiˆzany jest do uiszczenia wpisowego w wysokoæci 400, - (s¸ownie: czterysta z¸otych 00/100). Podpisanie umowy przez obie strony jest jednoznaczne z pobraniem od rodzica/opiekuna prawnego wpisowego. Wpisowe jest bezzwrotne z wyjˆtkiem przypadk—w, gdy rozwiˆzanie umowy nastˆpi z przyczyn leıˆcych po stronie przedszkola""";27 sie 14;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5793;29 maj 14;Sygn. akt XVII AmC 10661/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Krzysztof Rdest;Pozwany: Anna üasocha - F.H.U. ANNEX w Krakowie;"""Sˆdem w¸aæciwym dla rozpatrywania spor—w wynikajˆcych z umowy sprzedaıy jest sˆd wybrany przez powoda""";27 sie 14;;HANDEL ELEKTRONICZNY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5794;18 lut 13;Sygn. akt XVII AmC 732/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Og—lnopolskie Stowarzyszenie na rzecz ochrony praw konsument—w w Warszawie;Pozwany: TOYA sp—¸ka z ograniczonˆ odpowiedzialnoæciˆ w üodzi;"""Realizacja Umowy moıe by uwarunkowana uiszczeniem jednorazowej op¸aty instalacyjnej lub aktywacyjnej za Us¸ug« wymienionˆ w Umowie. Op¸ata ta nie podlega zwrotowi bez wzgl«du na spos—b rozwiˆzania Umowy""";27 sie 14;;USüUGI TELEKOMUNIKACYJNE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5795;15 mar 13;Sygn. akt XVII AmC 3751/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;"Pow—d: Stowarzyszenie ""Towarzystwo Lexus"" z siedzibˆ w Poznaniu";Pozwany: Jaros¸aw Dziemian - PW Jard w Bia¸ymstoku;"""PW Jard zastrzega sobie prawo do zakoÄczenia Programu Karta Sta¸ego Klienta w kaıdym momencie""";27 sie 14;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5796;22 lip 14;Sygn. akt XVII AmC 4826/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;"Pow—d: Stowarzyszenie ""Towarzystwo Lexus"" z siedzibˆ w Poznaniu";Pozwany: Dziedzic sp. z o.o. w Namys¸owie;"""Rezygnacja jest moıliwa tylko i wy¸ˆcznie w przypadku braku jakichkolwiek naruszeÄ lub uszkodzeÄ w oryginalnych opakowaniach zam—wionych artyku¸—w. (É). Produkt nie moıe nosi ælad—w uıytkowania""";29 sie 14;;SPRZEDAû KONSUMENCKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5797;22 lip 14;Sygn. akt XVII AmC 4826/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;"Pow—d: Stowarzyszenie ""Towarzystwo Lexus"" z siedzibˆ w Poznaniu";Pozwany: Dziedzic sp. z o.o. w Namys¸owie;"""Aby zwrot m—g¸ zosta rozpatrzony naleıy skontaktowa si« z pracownikiem sklepu""";29 sie 14;;SPRZEDAû KONSUMENCKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5798;22 lip 14;Sygn. akt XVII AmC 4826/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;"Pow—d: Stowarzyszenie ""Towarzystwo Lexus"" z siedzibˆ w Poznaniu";Pozwany: Dziedzic sp. z o.o. w Namys¸owie;"""Sklep zwraca pieniˆdze za towar, potrˆcajˆc koszty wysy¸ki wyliczone przez sklep podczas sk¸adania zam—wienia przez klienta""";29 sie 14;;SPRZEDAû KONSUMENCKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
